Season	Player	Team	GP	TOI	Shots Against	Saves	Goals Against	SV%	GAA	GSAA	xG Against	HD Shots Against	HD Saves	HD Goals Against	HDSV%	HDGAA	HDGSAA	MD Shots Against	MD Saves	MD Goals Against	MDSV%	MDGAA	MDGSAA	LD Shots Against	LD Saves	LD Goals Against	LDSV%	LDGAA	LDGSAA	Rush Attempts Against	Rebound Attempts Against	Avg. Shot Distance	Avg. Goal Distance
20092010	Michal Neuvirth	WSH	17	686.76666666667	353	327	26	0.926	2.27	2.3	28.75	83	68	15	0.819	1.31	-0.56	113	105	8	0.929	0.7	0.81	149	146	3	0.98	0.26	1.24	25	38	35.25	25.54
20092010	Martin Brodeur	N.J	77	3562.1333333333	1596	1476	120	0.925	2.02	7.93	116.48	378	316	62	0.836	1.04	3.77	446	413	33	0.926	0.56	1.79	726	701	25	0.966	0.42	-4.33	76	118	35.8	26.46
20092010	Kari Lehtonen	DAL	12	469.43333333333	267	247	20	0.925	2.56	1.4	20.86	68	54	14	0.794	1.79	-2.17	86	81	5	0.942	0.64	1.71	107	106	1	0.991	0.13	2.05	21	22	34.33	18.2
20092010	Jimmy Howard	DET	63	2892.4333333333	1415	1309	106	0.925	2.2	7.42	102.11	363	302	61	0.832	1.27	2.16	370	345	25	0.932	0.52	3.86	641	621	20	0.969	0.41	-1.75	64	102	35.64	24.94
20092010	Craig Anderson	COL	71	3233.9166666667	1663	1537	126	0.924	2.34	7.3	123.46	424	345	79	0.814	1.47	-5.22	395	362	33	0.916	0.61	-2.19	795	781	14	0.982	0.26	8.63	76	191	35.34	20.51
20092010	Justin Peters	CAR	9	366.68333333333	184	170	14	0.924	2.29	0.75	16.33	53	47	6	0.887	0.98	3.22	44	37	7	0.841	1.15	-3.57	86	85	1	0.988	0.16	1.45	11	23	32.58	18.86
20092010	Nikolai Khabibulin	EDM	18	813.25	462	426	36	0.922	2.66	1.03	33.77	116	99	17	0.853	1.25	3.18	104	93	11	0.894	0.81	-2.89	231	223	8	0.965	0.59	-1.42	31	47	37.44	24.14
20092010	Johan Hedberg	ATL	47	1946.0333333333	982	905	77	0.922	2.37	1.71	79.19	299	248	51	0.829	1.57	1.03	284	265	19	0.933	0.59	3.15	377	371	6	0.984	0.18	4.73	61	94	34.2	22.55
20092010	Carey Price	MTL	41	1807.6333333333	928	856	72	0.922	2.39	2.39	68.15	210	169	41	0.805	1.36	-4.46	236	219	17	0.928	0.56	1.41	452	438	14	0.969	0.46	-1.13	49	75	37.75	23.82
20092010	Josh Harding	MIN	25	994.3	534	492	42	0.921	2.53	0.8	37.28	114	97	17	0.851	1.03	2.84	161	144	17	0.894	1.03	-4.44	247	239	8	0.968	0.48	-0.97	27	45	36.01	27.07
20092010	Thomas Greiss	S.J	16	599.18333333333	303	279	24	0.921	2.4	0.29	25.57	95	79	16	0.832	1.6	0.53	77	71	6	0.922	0.6	0.01	124	122	2	0.984	0.2	1.53	18	33	31.17	20.54
20092010	Ty Conklin	STL	26	1064.0333333333	540	497	43	0.92	2.42	0.28	43.57	148	130	18	0.878	1.02	7.75	158	142	16	0.899	0.9	-3.68	218	210	8	0.963	0.45	-1.79	32	36	33.14	24.65
